purchase_date,item_name,item_price,customer_name,customer_name_kana,region,email,reg_date
2019-06-13T18:02:34Z,商品A,100,深井菜々美,ふかい ななみ,C市,fukai_nanami@example.com,2017-01-26
2019-07-13T13:05:29Z,商品S,1900,浅田賢二,あさだ けんじ,C市,asada_kenji@example.com,2018-04-07
2019-05-11T19:42:07Z,商品A,100,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19
2019-02-12T23:40:45Z,商品Z,2600,麻生莉緒,あそう りお,D市,asou_rio@example.com,2018-07-22
2019-04-22T03:09:35Z,商品A,100,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
2019-03-20T19:16:01Z,商品S,1900,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
2019-05-18T19:16:53Z,商品A,100,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21
2019-04-18T00:14:21Z,商品V,2200,牧田玲那,まきた れな,A市,makita_rena@example.com,2017-05-13
2019-01-10T15:51:01Z,商品O,1500,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05
2019-01-28T10:47:03Z,商品A,100,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09
2019-06-21T01:54:35Z,商品U,2100,矢部惇,やべ じゅん,A市,yabe_jun@example.com,2018-05-20
2019-06-08T11:32:25Z,商品L,1200,岡田敏也,おかだ としや,E市,okada_toshiya@example.com,2017-02-16
2019-04-08T02:00:44Z,商品V,2200,浅見広司,あさみ こうじ,D市,asami_kouji@example.com,2018-06-03
2019-06-19T09:50:52Z,商品O,1500,熊井憲史,くまい のりひと,A市,kumai_norihito@example.com,2017-03-29
2019-06-11T12:57:24Z,商品A,100,黄川田博之,きかわだ ひろゆき,C市,kikawada_hiroyuki@example.com,2018-02-14
2019-04-21T00:11:43Z,商品C,300,尾形小雁,おがた こがん,B市,ogata_kogan@example.com,2017-03-15
2019-03-28T23:24:46Z,商品V,2200,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23
2019-04-06T12:00:53Z,商品I,900,若杉徹,わかすぎ とおる,G市,wakasugi_tohru@example.com,2017-03-24
2019-07-16T05:55:57Z,商品R,1800,石渡小雁,いしわたり こがん,D市,ishiwatari_kogan@example.com,2017-07-28
2019-07-03T07:04:05Z,商品X,2400,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06
2019-07-05T10:49:13Z,商品O,1500,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23
2019-06-10T19:07:23Z,商品G,700,黒谷長利,くろたに ながとし,A市,kurotani_nagatoshi@example.com,2017-04-27
2019-07-10T20:28:12Z,商品X,2400,田辺光洋,たなべ みつひろ,A市,tanabe_mitsuhiro@example.com,2018-07-04
2019-07-10T12:44:10Z,商品R,1800,戸塚美幸,とづか みゆき,H市,toduka_miyuki@example.com,2017-01-30
2019-02-14T01:30:09Z,商品P,1600,榊原しぼり,さかきばら しぼり,D市,sakakibara_shibori@example.com,2017-03-13
2019-04-18T01:50:16Z,商品Q,1700,浅田賢二,あさだ けんじ,C市,asada_kenji@example.com,2018-04-07
2019-05-16T04:45:21Z,商品Y,2500,明石家明,あかしや あきら,B市,akashiya_akira@example.com,2018-02-13
2019-05-26T10:58:00Z,商品P,1600,手塚進,てづか すすむ,A市,teduka_susumu@example.com,2018-05-01
2019-01-04T12:05:04Z,商品P,1600,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
2019-02-11T18:32:05Z,商品R,1800,荻野愛,おぎの あい,F市,ogino_ai@example.com,2017-05-17
2019-03-02T08:52:28Z,商品P,1600,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
2019-06-29T10:01:52Z,商品A,100,石田佑,いしだ たすく,E市,ishida_tasuku@example.com,2018-05-12
2019-04-24T17:44:17Z,商品N,1400,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03
2019-03-28T14:18:18Z,商品R,1800,岡慶太,おか けいた,C市,oka_keita@example.com,2018-07-22
2019-01-18T00:54:58Z,商品W,2300,鈴木一哉,すずき かずや,C市,suzuki_kazuya@example.com,2017-04-09
2019-01-12T03:26:36Z,商品A,100,小平陽子,こひら ようこ,B市,kohira_youko@example.com,2018-01-21
2019-07-27T00:08:48Z,商品E,500,尾形小雁,おがた こがん,B市,ogata_kogan@example.com,2017-03-15
2019-03-22T11:16:00Z,商品K,1100,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05
2019-05-07T02:58:40Z,商品O,1500,井川真悠子,いがわ まゆこ,F市,igawa_mayuko@example.com,2017-03-04
2019-02-04T18:23:22Z,商品W,2300,金森なつみ,かなもり なつみ,F市,kanamori_natsumi@example.com,2018-03-24
2019-03-22T18:36:47Z,商品O,1500,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
2019-05-24T21:39:20Z,商品K,1100,本多フミヤ,ほんだ ふみや,F市,honnda_fumiya@example.com,2017-05-23
2019-07-29T00:17:11Z,商品B,200,唐沢涼,からさわ りょう,H市,karasawa_ryou@example.com,2018-02-27
2019-07-25T00:59:37Z,商品F,600,金森なつみ,かなもり なつみ,F市,kanamori_natsumi@example.com,2018-03-24
2019-05-14T08:37:32Z,商品P,1600,中田美智子,なかた みちこ,E市,nakata_michiko@example.com,2017-05-30
2019-07-13T04:50:21Z,商品X,2400,松谷愛子,まつたに あいこ,D市,matsutani_aiko@example.com,2018-07-30
2019-02-14T03:26:40Z,商品B,200,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19
2019-01-17T17:36:01Z,商品S,1900,黒谷長利,くろたに ながとし,A市,kurotani_nagatoshi@example.com,2017-04-27
2019-03-10T15:16:10Z,商品F,600,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23
2019-06-27T02:36:37Z,商品X,2400,深沢ひろ子,ふかざわ ひろこ,C市,fukazawa_hiroko@example.com,2018-03-17
2019-04-28T15:43:45Z,商品W,2300,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05
2019-01-02T13:26:23Z,商品N,1400,五十嵐春樹,いがらし はるき,F市,igarashi_haruki@example.com,2017-01-06
2019-02-04T18:06:39Z,商品Q,1700,白井俊二,しらい しゅんじ,H市,shirai_shunji@example.com,2018-05-24
2019-05-14T16:02:35Z,商品P,1600,芦田博之,あしだ ひろゆき,E市,ashida_hiroyuki@example.com,2018-07-13
2019-04-19T18:15:46Z,商品I,900,楠高史,くすのき たかし,G市,kusunoki_takashi@example.com,2017-04-11
2019-03-12T06:07:54Z,商品F,600,熊井憲史,くまい のりひと,A市,kumai_norihito@example.com,2017-03-29
2019-06-02T05:32:51Z,商品D,400,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05
2019-07-06T04:39:23Z,商品R,1800,石崎幸子,いしざき さちこ,F市,ishizaki_sachiko@example.com,2017-06-12
2019-02-01T02:17:54Z,商品M,1300,本橋直人,もとはし なおと,F市,motohashi_naoto@example.com,2017-03-03
2019-06-29T10:30:57Z,商品M,1300,杉下悟志,すぎした さとし,E市,sugishita_satoshi@example.com,2018-02-17
2019-02-07T19:34:14Z,商品Q,1700,浅見広司,あさみ こうじ,D市,asami_kouji@example.com,2018-06-03
2019-02-11T17:00:37Z,商品A,100,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05
2019-01-17T04:24:21Z,商品Y,2500,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10
2019-06-25T16:31:43Z,商品I,900,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23
2019-07-01T11:27:25Z,商品U,2100,高沢美咲,たかさわ みさき,E市,takasawa_misaki@example.com,2018-01-24
2019-03-28T07:57:34Z,商品H,800,石田郁恵,いしだ いくえ,B市,ishida_ikue@example.com,2017-02-05
2019-07-12T00:36:36Z,商品P,1600,秋葉あき,あきば あき,H市,akiba_aki@example.com,2018-07-10
2019-07-15T08:24:09Z,商品P,1600,久保田倫子,くぼた のりこ,A市,kubota_noriko1@example.com,2017-06-02
2019-03-09T13:03:54Z,商品T,2000,矢部夏空,やべ そら,F市,yabe_sora@example.com,2017-03-25
2019-07-14T10:48:53Z,商品Y,2500,植村遥,うえむら はるか,A市,uemura_haruka@example.com,2018-01-06
2019-05-15T06:22:05Z,商品W,2300,高梨結衣,たかなし ゆい,C市,takanashi_yui@example.com,2018-05-21
2019-03-12T02:01:53Z,商品M,1300,小口豊,おぐち ゆたか,H市,oguchi_yutaka@example.com,2018-02-28
2019-03-09T01:23:37Z,商品V,2200,川島友以乃,かわしま ゆいの,G市,kawashima_yuino@example.com,2017-06-09
2019-06-23T14:25:17Z,商品D,400,市田寿明,いちだ としあき,E市,ichida_toshiaki@example.com,2017-04-08
2019-06-17T02:32:09Z,商品J,1000,梅津淳子,うめづ あつこ,H市,umedu_atsuko@example.com,2017-01-06
2019-07-20T22:12:46Z,商品O,1500,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13
2019-06-10T18:21:25Z,商品L,1200,芳賀希,はが のぞみ,A市,haga_nozomi@example.com,2018-01-07
2019-02-19T16:59:27Z,商品F,600,日比野徹,ひびの とおる,C市,hibino_tohru@example.com,2018-02-22
2019-03-24T20:16:56Z,商品U,2100,唐沢涼,からさわ りょう,H市,karasawa_ryou@example.com,2018-02-27
2019-01-27T10:29:55Z,商品N,1400,古川信吾,ふるかわ しんご,D市,furukawa_shingo@example.com,2018-01-10
2019-01-28T07:23:27Z,商品P,1600,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21
2019-05-11T12:39:54Z,商品S,1900,西島知世,にしじま ちせ,A市,nishijima_chise@example.com,2018-03-11
2019-02-08T15:43:55Z,商品X,2400,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23
2019-02-04T03:16:08Z,商品O,1500,小口豊,おぐち ゆたか,H市,oguchi_yutaka@example.com,2018-02-28
2019-01-16T22:37:07Z,商品V,2200,新谷智花,あらや ともか,F市,araya_tomoka@example.com,2017-02-14
2019-01-12T05:17:32Z,商品K,1100,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09
2019-04-23T17:47:01Z,商品N,1400,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03
2019-04-15T18:12:05Z,商品I,900,井村俊二,いむら しゅんじ,D市,imura_shunji@example.com,2017-04-14
2019-07-02T21:30:10Z,商品O,1500,亀井一徳,かめい いっとく,A市,kamei_ittoku@example.com,2017-03-04
2019-01-07T10:13:28Z,商品R,1800,横田遥,よこた はるか,H市,yokota_haruka@example.com,2018-02-24
2019-06-09T21:37:58Z,商品V,2200,大滝麗奈,おおたき れな,C市,ootaki_rena@example.com,2017-05-30
2019-05-05T18:09:18Z,商品Y,2500,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13
2019-04-08T15:06:15Z,商品E,500,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10
2019-03-10T11:36:49Z,商品E,500,西原未華子,にしはら みかこ,C市,nishihara_mikako@example.com,2018-05-18
2019-03-19T10:16:56Z,商品H,800,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06
2019-05-26T19:23:21Z,商品S,1900,小松季衣,こまつ としえ,E市,komatsu_toshie@example.com,2018-06-20
2019-01-14T05:59:12Z,商品W,2300,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05
2019-04-18T07:01:12Z,商品Y,2500,本橋直人,もとはし なおと,F市,motohashi_naoto@example.com,2017-03-03
